epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1561.92,0.59253,0.35422,0.98806,0.94723,0.94518,0.96874,0.82764,0.66892,0.3433,1.14179,0.000225211,0.000225211,0.000225211
43,1598.63,0.59488,0.36109,0.99609,0.96114,0.9571,0.96968,0.82449,0.67072,0.32271,1.13993,0.000224032,0.000224032,0.000224032
44,1635.66,0.5834,0.36414,0.98939,0.95757,0.94231,0.96714,0.82071,0.67336,0.32436,1.14041,0.000222828,0.000222828,0.000222828
45,1672.85,0.5892,0.3655,0.98505,0.9664,0.95192,0.97052,0.82203,0.68874,0.31133,1.15436,0.000221601,0.000221601,0.000221601
46,1710.85,0.5845,0.358,0.98237,0.92869,0.95841,0.96961,0.82056,0.68562,0.31335,1.14682,0.00022035,0.00022035,0.00022035
47,1748.08,0.58708,0.35215,0.99911,0.96941,0.93106,0.96933,0.83299,0.67729,0.31799,1.14875,0.000219076,0.000219076,0.000219076
48,1784.77,0.56503,0.34847,0.9798,0.96687,0.94741,0.96783,0.82941,0.67489,0.30978,1.14254,0.000217779,0.000217779,0.000217779
49,1821.36,0.57423,0.34029,0.98145,0.96213,0.94118,0.96648,0.81894,0.67915,0.3235,1.14679,0.00021646,0.00021646,0.00021646
50,1858.09,0.58091,0.34751,0.97608,0.9433,0.94602,0.9676,0.82967,0.65588,0.31181,1.13642,0.000215118,0.000215118,0.000215118
51,1894.77,0.56914,0.33991,0.98039,0.94513,0.94949,0.96493,0.82501,0.6595,0.31358,1.13017,0.000213754,0.000213754,0.000213754
52,1931.35,0.56605,0.34045,0.97855,0.97162,0.94777,0.96617,0.81257,0.66683,0.3192,1.14161,0.000212369,0.000212369,0.000212369
53,1968.7,0.56848,0.35507,0.9822,0.9678,0.94805,0.9661,0.82126,0.67636,0.31005,1.14973,0.000210963,0.000210963,0.000210963
54,2005.98,0.54486,0.33411,0.96793,0.94345,0.96259,0.96725,0.81578,0.67643,0.30801,1.14615,0.000209535,0.000209535,0.000209535
55,2043.18,0.55011,0.33674,0.96723,0.94943,0.94268,0.97126,0.82754,0.66002,0.32039,1.13562,0.000208087,0.000208087,0.000208087
56,2080.26,0.5476,0.33561,0.96922,0.96699,0.94652,0.97103,0.82574,0.67043,0.31211,1.14266,0.000206619,0.000206619,0.000206619
57,2118.05,0.54857,0.33963,0.9707,0.94563,0.94482,0.96862,0.82701,0.66812,0.3195,1.14915,0.000205131,0.000205131,0.000205131
58,2155.22,0.55259,0.33634,0.97596,0.96323,0.90963,0.96793,0.82996,0.65472,0.31858,1.1399,0.000203624,0.000203624,0.000203624
59,2192.53,0.54912,0.34317,0.97788,0.97112,0.94169,0.96413,0.82402,0.65988,0.32436,1.13016,0.000202097,0.000202097,0.000202097
60,2229.77,0.55702,0.33968,0.96803,0.95761,0.95479,0.9714,0.83321,0.65941,0.31663,1.14274,0.000200552,0.000200552,0.000200552
61,2266.98,0.54327,0.337,0.96428,0.95952,0.93587,0.97007,0.83211,0.65284,0.33109,1.14058,0.000198988,0.000198988,0.000198988
62,2304.18,0.53672,0.32847,0.96951,0.95542,0.94842,0.96773,0.82178,0.66406,0.32195,1.15439,0.000197407,0.000197407,0.000197407
63,2340.82,0.53617,0.3266,0.96608,0.96312,0.95122,0.96995,0.83019,0.65211,0.30624,1.138,0.000195808,0.000195808,0.000195808
64,2378.14,0.53237,0.32423,0.96173,0.95134,0.94971,0.97237,0.82927,0.65793,0.30909,1.14028,0.000194192,0.000194192,0.000194192
65,2415.57,0.53048,0.32474,0.9632,0.96747,0.95192,0.96819,0.82871,0.6481,0.30261,1.1468,0.000192559,0.000192559,0.000192559
66,2453.3,0.51221,0.31075,0.94781,0.97285,0.94834,0.97041,0.82993,0.65995,0.30973,1.1556,0.000190909,0.000190909,0.000190909
67,2490.47,0.53482,0.31882,0.96074,0.96535,0.95641,0.97214,0.8266,0.67114,0.30486,1.15156,0.000189244,0.000189244,0.000189244
68,2527.11,0.53588,0.32134,0.96282,0.95931,0.95467,0.97235,0.83376,0.64723,0.3045,1.14267,0.000187563,0.000187563,0.000187563
69,2563.85,0.52879,0.32289,0.96175,0.9257,0.96398,0.97128,0.8353,0.65651,0.31183,1.14499,0.000185867,0.000185867,0.000185867
70,2600.53,0.52501,0.31354,0.96125,0.96231,0.95296,0.971,0.83978,0.63568,0.3018,1.13773,0.000184156,0.000184156,0.000184156
71,2637.91,0.51427,0.30818,0.95364,0.95703,0.95161,0.97364,0.83033,0.65654,0.31174,1.15187,0.000182431,0.000182431,0.000182431
72,2675.81,0.52541,0.31613,0.95625,0.96855,0.9453,0.96617,0.82143,0.64352,0.31001,1.14118,0.000180692,0.000180692,0.000180692
73,2713.91,0.51272,0.3133,0.95693,0.97512,0.95514,0.96982,0.82399,0.64406,0.30409,1.14057,0.00017894,0.00017894,0.00017894
74,2751.81,0.50869,0.30443,0.94911,0.95711,0.95317,0.96556,0.83104,0.64793,0.31521,1.15015,0.000177175,0.000177175,0.000177175
75,2789.29,0.50255,0.30189,0.95245,0.96723,0.95502,0.96823,0.82744,0.64123,0.29908,1.14729,0.000175397,0.000175397,0.000175397
76,2827.09,0.50533,0.31389,0.95227,0.96715,0.94825,0.96779,0.8288,0.64799,0.30408,1.15694,0.000173607,0.000173607,0.000173607
77,2863.95,0.50185,0.30846,0.94982,0.97317,0.95027,0.96681,0.83047,0.64195,0.30582,1.15139,0.000171805,0.000171805,0.000171805
78,2900.89,0.49426,0.29998,0.94772,0.9543,0.95617,0.96793,0.82979,0.6472,0.30454,1.14902,0.000169993,0.000169993,0.000169993
79,2937.74,0.50058,0.30201,0.9498,0.94739,0.95644,0.96851,0.82774,0.65631,0.31252,1.15758,0.000168169,0.000168169,0.000168169
80,2974.92,0.50253,0.30359,0.94859,0.95393,0.94427,0.96897,0.83298,0.63784,0.30767,1.14545,0.000166335,0.000166335,0.000166335
81,3012.25,0.49058,0.29672,0.93529,0.9636,0.9531,0.96829,0.82858,0.63492,0.29998,1.14917,0.000164491,0.000164491,0.000164491
82,3050.27,0.48634,0.29454,0.94281,0.97008,0.95542,0.97104,0.83244,0.64026,0.30022,1.15798,0.000162637,0.000162637,0.000162637
83,3087.63,0.49554,0.30194,0.94009,0.96526,0.94994,0.96818,0.83025,0.64167,0.30921,1.15159,0.000160775,0.000160775,0.000160775
84,3124.81,0.48249,0.2916,0.94031,0.95127,0.95275,0.97194,0.84194,0.66064,0.30685,1.16301,0.000158904,0.000158904,0.000158904
85,3162.17,0.483,0.29912,0.93586,0.9744,0.94954,0.96976,0.84063,0.63311,0.29215,1.14528,0.000157025,0.000157025,0.000157025
86,3199.3,0.48773,0.29279,0.94223,0.96187,0.94659,0.97222,0.84552,0.62895,0.29493,1.14649,0.000155139,0.000155139,0.000155139
87,3236.72,0.4847,0.2979,0.94138,0.9701,0.94529,0.97384,0.83812,0.62984,0.29426,1.14754,0.000153245,0.000153245,0.000153245
88,3274.5,0.47065,0.29283,0.93042,0.97126,0.94379,0.96917,0.85325,0.62453,0.29054,1.14304,0.000151345,0.000151345,0.000151345
89,3312.4,0.46313,0.28158,0.92753,0.95727,0.95251,0.96953,0.84595,0.62796,0.29139,1.15792,0.000149438,0.000149438,0.000149438
90,3350.62,0.47516,0.29302,0.93394,0.97379,0.94875,0.96889,0.84969,0.6272,0.30924,1.14416,0.000147526,0.000147526,0.000147526
91,3388.16,0.45934,0.28119,0.93076,0.95496,0.95636,0.97126,0.84777,0.62687,0.29853,1.15508,0.000145609,0.000145609,0.000145609
92,3425.55,0.46896,0.28383,0.92912,0.97283,0.94728,0.96986,0.84854,0.62699,0.30432,1.14275,0.000143687,0.000143687,0.000143687
93,3462.74,0.45797,0.2812,0.92874,0.97404,0.9434,0.97118,0.85275,0.62864,0.2927,1.1551,0.00014176,0.00014176,0.00014176
94,3499.73,0.46302,0.28649,0.93412,0.95881,0.95309,0.96862,0.83452,0.63877,0.30809,1.16096,0.00013983,0.00013983,0.00013983
95,3537.55,0.4681,0.28498,0.93371,0.97221,0.94673,0.97286,0.85054,0.61495,0.29341,1.14491,0.000137896,0.000137896,0.000137896
96,3575.2,0.44233,0.26716,0.91492,0.96842,0.94776,0.9682,0.85286,0.62169,0.29024,1.16391,0.000135959,0.000135959,0.000135959
97,3612.8,0.45539,0.27382,0.92425,0.95668,0.95463,0.96759,0.85054,0.62584,0.29046,1.16611,0.00013402,0.00013402,0.00013402
98,3650.25,0.44694,0.27717,0.91668,0.96073,0.95096,0.97025,0.8525,0.61255,0.28881,1.15067,0.000132079,0.000132079,0.000132079
99,3687.66,0.45062,0.27545,0.92201,0.97039,0.94415,0.9686,0.84996,0.61927,0.29195,1.1483,0.000130137,0.000130137,0.000130137
100,3725.05,0.44907,0.26762,0.92437,0.96914,0.94426,0.96935,0.85149,0.61457,0.29225,1.14394,0.000128194,0.000128194,0.000128194
101,3762.48,0.45327,0.27747,0.93102,0.97491,0.95114,0.97106,0.85217,0.61096,0.28774,1.15494,0.00012625,0.00012625,0.00012625
102,3800.08,0.44667,0.26904,0.92321,0.96949,0.94665,0.96901,0.8588,0.62254,0.28809,1.1578,0.000124306,0.000124306,0.000124306
103,3836.85,0.44448,0.27646,0.92227,0.96641,0.95636,0.96984,0.85921,0.61371,0.28498,1.15825,0.000122363,0.000122363,0.000122363
104,3873.74,0.43888,0.26865,0.92123,0.97408,0.95441,0.97119,0.85606,0.60702,0.28966,1.14854,0.000120421,0.000120421,0.000120421
105,3910.62,0.43731,0.26891,0.9175,0.96799,0.9482,0.97184,0.85711,0.60649,0.29595,1.15747,0.00011848,0.00011848,0.00011848
106,3947.47,0.43311,0.27048,0.91325,0.97078,0.94936,0.96972,0.86121,0.60332,0.2939,1.15162,0.000116541,0.000116541,0.000116541
107,3984.38,0.43399,0.2658,0.91605,0.96896,0.95298,0.97038,0.85986,0.60937,0.29396,1.15703,0.000114604,0.000114604,0.000114604
108,4021.78,0.43488,0.27264,0.9125,0.96123,0.9562,0.96794,0.85604,0.60939,0.29389,1.15675,0.00011267,0.00011267,0.00011267
109,4059.06,0.42751,0.26112,0.91077,0.96978,0.94531,0.96992,0.86255,0.60707,0.291,1.15051,0.00011074,0.00011074,0.00011074
110,4096.37,0.42368,0.25572,0.91363,0.97,0.94894,0.96902,0.86184,0.59866,0.28759,1.1452,0.000108813,0.000108813,0.000108813
111,4134.19,0.43075,0.26868,0.91278,0.97424,0.94778,0.9692,0.86069,0.61263,0.28864,1.15861,0.000106891,0.000106891,0.000106891
112,4170.94,0.41799,0.25506,0.90184,0.96468,0.95404,0.96855,0.86228,0.59885,0.28804,1.15023,0.000104974,0.000104974,0.000104974
113,4207.71,0.41385,0.25662,0.90809,0.96675,0.94309,0.97029,0.85798,0.59613,0.28134,1.15171,0.000103062,0.000103062,0.000103062
114,4244.49,0.41828,0.26703,0.91394,0.96701,0.95561,0.96992,0.86331,0.59946,0.27884,1.16333,0.000101155,0.000101155,0.000101155
115,4281.26,0.41504,0.25925,0.90231,0.97014,0.94154,0.97088,0.86263,0.60123,0.28188,1.15868,9.92548e-05,9.92548e-05,9.92548e-05
116,4318.12,0.41201,0.25458,0.90357,0.9738,0.95196,0.97214,0.86237,0.60542,0.28382,1.15531,9.73611e-05,9.73611e-05,9.73611e-05
117,4356.08,0.41443,0.25898,0.91042,0.97282,0.95138,0.97022,0.86551,0.60315,0.28545,1.16042,9.54746e-05,9.54746e-05,9.54746e-05
118,4393.4,0.40529,0.24983,0.89863,0.97211,0.95156,0.96836,0.8646,0.60697,0.28545,1.15804,9.35957e-05,9.35957e-05,9.35957e-05
119,4430.63,0.40309,0.24383,0.8987,0.96516,0.95258,0.96859,0.86558,0.59992,0.28311,1.16091,9.17249e-05,9.17249e-05,9.17249e-05
120,4467.7,0.39601,0.24915,0.90096,0.96897,0.94707,0.96964,0.86074,0.59831,0.27827,1.16617,8.98625e-05,8.98625e-05,8.98625e-05
121,4504.42,0.40127,0.25299,0.90108,0.96956,0.94715,0.97081,0.85988,0.6052,0.27747,1.15613,8.80091e-05,8.80091e-05,8.80091e-05
122,4541.06,0.40149,0.24865,0.907,0.96304,0.94915,0.97091,0.86299,0.59602,0.2779,1.15706,8.61652e-05,8.61652e-05,8.61652e-05
123,4577.81,0.39689,0.24961,0.89397,0.94461,0.95489,0.97223,0.86841,0.59836,0.2812,1.16741,8.43312e-05,8.43312e-05,8.43312e-05
124,4615.29,0.39404,0.24399,0.89895,0.971,0.95849,0.97135,0.85932,0.59439,0.27134,1.15737,8.25075e-05,8.25075e-05,8.25075e-05
125,4652.62,0.39861,0.2503,0.8957,0.96491,0.95278,0.97112,0.86227,0.60251,0.27888,1.16363,8.06946e-05,8.06946e-05,8.06946e-05
126,4689.71,0.39598,0.24892,0.89578,0.96672,0.94749,0.97078,0.86531,0.59139,0.28284,1.15437,7.88929e-05,7.88929e-05,7.88929e-05
127,4726.82,0.38725,0.24352,0.88825,0.9708,0.95545,0.97107,0.86647,0.59435,0.28494,1.16439,7.71029e-05,7.71029e-05,7.71029e-05
128,4763.99,0.39339,0.2465,0.90061,0.96615,0.95093,0.97008,0.86523,0.59307,0.27937,1.15885,7.53251e-05,7.53251e-05,7.53251e-05
129,4801.77,0.37961,0.23451,0.88557,0.96726,0.95215,0.97101,0.86738,0.58795,0.27529,1.15692,7.35598e-05,7.35598e-05,7.35598e-05
130,4838.99,0.37656,0.23383,0.88345,0.96469,0.94739,0.97133,0.86483,0.59837,0.28434,1.15912,7.18075e-05,7.18075e-05,7.18075e-05
131,4876.26,0.37938,0.24058,0.89317,0.96577,0.95618,0.97046,0.86249,0.59023,0.28337,1.16089,7.00687e-05,7.00687e-05,7.00687e-05
132,4912.9,0.3792,0.2416,0.88894,0.96421,0.95738,0.97013,0.8666,0.58693,0.28253,1.16168,6.83437e-05,6.83437e-05,6.83437e-05
133,4949.54,0.37966,0.23908,0.89435,0.95979,0.95696,0.97168,0.86507,0.59193,0.27971,1.16877,6.6633e-05,6.6633e-05,6.6633e-05
